Geographic Area Name (NAME),Population Universe (POPUNI),"Estimate, 0 components of social vulnerability (PRED0_E)","Margin of error, 0 components of social vulnerability (PRED0_M)","Percent, 0 components of social vulnerability (PRED0_PE)","Percent margin of error, 0 components of social vulnerability (PRED0_PM)","Estimate, 1-2 components of social vulnerability (PRED12_E)","Margin of error, 1-2 components of social vulnerability (PRED12_M)","Percent, 1-2 components of social vulnerability (PRED12_PE)","Percent margin of error, 1-2 components of social vulnerability (PRED12_PM)","Estimate, 3+ components of social vulnerability (PRED3_E)","Margin of error, 3+ components of social vulnerability (PRED3_M)","Percent, 3+ components of social vulnerability (PRED3_PE)","Percent margin of error, 3+ components of social vulnerability (PRED3_PM)"
"Bryan County, Georgia","49,680","22,632","2,588",45.56%,5.21%,"18,529","2,632",37.30%,5.30%,"8,519","1,975",17.15%,3.98%
"Boone County, Illinois","53,153","21,463","2,587",40.38%,4.87%,"21,404","2,620",40.27%,4.93%,"10,286","2,061",19.35%,3.88%
"Clay County, Minnesota","63,738","27,017","2,585",42.39%,4.06%,"26,459","2,567",41.51%,4.03%,"10,262","1,939",16.10%,3.04%
"Cayuga County, New York","72,284","25,989","2,582",35.95%,3.57%,"32,305","2,619",44.69%,3.62%,"13,990","2,178",19.35%,3.01%
"Dodge County, Wisconsin","84,233","34,718","2,579",41.22%,3.06%,"34,982","2,609",41.53%,3.10%,"14,533","2,123",17.25%,2.52%
"Garfield County, Colorado","62,103","20,991","2,574",33.80%,4.14%,"30,441","2,763",49.02%,4.45%,"10,671","2,159",17.18%,3.48%
"Laurens County, South Carolina","67,759","21,450","2,572",31.66%,3.80%,"29,235","2,750",43.15%,4.06%,"17,074","2,371",25.20%,3.50%
"Stanly County, North Carolina","64,580","22,939","2,571",35.52%,3.98%,"29,157","2,690",45.15%,4.17%,"12,484","2,217",19.33%,3.43%
"Dickson County, Tennessee","56,442","21,340","2,571",37.81%,4.56%,"24,054","2,685",42.62%,4.76%,"11,048","2,283",19.57%,4.04%
"Bedford County, Tennessee","52,332","18,263","2,562",34.90%,4.90%,"22,269","2,662",42.55%,5.09%,"11,800","2,221",22.55%,4.24%
"Carbon County, Pennsylvania","65,220","24,007","2,558",36.81%,3.92%,"28,208","2,577",43.25%,3.95%,"13,005","2,080",19.94%,3.19%
"Pike County, Pennsylvania","60,966","19,855","2,555",32.57%,4.19%,"28,350","2,622",46.50%,4.30%,"12,761","2,178",20.93%,3.57%
"DeKalb County, Alabama","72,286","21,169","2,549",29.29%,3.53%,"32,832","2,715",45.42%,3.76%,"18,285","2,346",25.30%,3.25%
"Kauai County, Hawaii","73,728","18,093","2,549",24.54%,3.46%,"42,201","2,893",57.24%,3.92%,"13,434","2,377",18.22%,3.22%
"Van Buren County, Michigan","75,798","26,893","2,545",35.48%,3.36%,"32,622","2,607",43.04%,3.44%,"16,283","2,124",21.48%,2.80%
"Jefferson County, Ohio","62,017","22,219","2,544",35.83%,4.10%,"25,421","2,571",40.99%,4.15%,"14,377","2,106",23.18%,3.40%
"Harrisonburg city, Virginia","44,353","15,776","2,539",35.57%,5.72%,"19,504","2,612",43.97%,5.89%,"9,073","2,019",20.46%,4.55%
"Bristol County, Rhode Island","47,943","22,375","2,537",46.67%,5.29%,"17,339","2,533",36.17%,5.28%,"8,229","1,964",17.16%,4.10%
"Carter County, Tennessee","56,207","17,283","2,536",30.75%,4.51%,"23,567","2,608",41.93%,4.64%,"15,357","2,180",27.32%,3.88%
"Culpeper County, Virginia","53,950","19,565","2,536",36.27%,4.70%,"23,338","2,647",43.26%,4.91%,"11,047","2,155",20.48%,3.99%
"Scott County, Kentucky","59,285","25,242","2,535",42.58%,4.28%,"22,696","2,582",38.28%,4.36%,"11,347","2,035",19.14%,3.43%
"Loudon County, Tennessee","60,489","18,073","2,534",29.88%,4.19%,"27,533","2,755",45.52%,4.55%,"14,883","2,405",24.60%,3.98%
"St. Charles Parish, Louisiana","50,182","18,892","2,525",37.65%,5.03%,"20,549","2,643",40.95%,5.27%,"10,741","2,179",21.40%,4.34%
"Lowndes County, Mississippi","56,565","17,543","2,522",31.01%,4.46%,"24,217","2,763",42.81%,4.88%,"14,805","2,513",26.17%,4.44%
"Cumberland County, Tennessee","64,632","17,275","2,518",26.73%,3.90%,"29,894","2,799",46.25%,4.33%,"17,463","2,551",27.02%,3.95%
"Butler County, Kansas","66,614","28,536","2,516",42.84%,3.78%,"27,241","2,507",40.89%,3.76%,"10,837","1,887",16.27%,2.83%
"Carteret County, North Carolina","69,184","22,616","2,516",32.69%,3.64%,"31,114","2,710",44.97%,3.92%,"15,454","2,356",22.34%,3.41%
"Jefferson County, West Virginia","59,022","25,250","2,514",42.78%,4.26%,"23,595","2,587",39.98%,4.38%,"10,177","2,063",17.24%,3.50%
"Mason County, Washington","66,725","16,478","2,512",24.70%,3.76%,"33,693","2,818",50.50%,4.22%,"16,554","2,346",24.81%,3.52%
"Sandusky County, Ohio","58,646","22,664","2,509",38.65%,4.28%,"24,224","2,544",41.31%,4.34%,"11,758","2,085",20.05%,3.56%
"Waller County, Texas","57,740","15,075","2,509",26.11%,4.35%,"28,752","2,763",49.80%,4.79%,"13,913","2,334",24.10%,4.04%
"Starr County, Texas","65,799","12,232","2,508",18.59%,3.81%,"31,501","3,104",47.87%,4.72%,"22,066","2,799",33.54%,4.25%
"Shiawassee County, Michigan","67,916","26,967","2,499",39.71%,3.68%,"26,682","2,513",39.29%,3.70%,"14,267","2,010",21.01%,2.96%
"Georgetown County, South Carolina","65,566","17,442","2,499",26.60%,3.81%,"30,416","2,774",46.39%,4.23%,"17,708","2,493",27.01%,3.80%
"Cherokee County, South Carolina","55,932","18,112","2,494",32.38%,4.46%,"24,476","2,622",43.76%,4.69%,"13,344","2,178",23.86%,3.89%
"Franklin County, Massachusetts","70,192","24,900","2,493",35.47%,3.55%,"31,612","2,540",45.04%,3.62%,"13,680","1,974",19.49%,2.81%
"Hoke County, North Carolina","54,311","18,178","2,480",33.47%,4.57%,"23,102","2,568",42.54%,4.73%,"13,031","1,981",23.99%,3.65%
"Hawkins County, Tennessee","58,411","17,987","2,480",30.79%,4.25%,"25,205","2,584",43.15%,4.42%,"15,219","2,207",26.06%,3.78%
"Walker County, Alabama","64,391","20,296","2,471",31.52%,3.84%,"26,980","2,600",41.90%,4.04%,"17,115","2,262",26.58%,3.51%
"Clearfield County, Pennsylvania","74,176","27,482","2,470",37.05%,3.33%,"29,399","2,491",39.63%,3.36%,"17,295","2,056",23.32%,2.77%
"Pearl River County, Mississippi","57,251","18,854","2,466",32.93%,4.31%,"23,550","2,615",41.13%,4.57%,"14,847","2,287",25.93%,3.99%
"Muskogee County, Oklahoma","64,078","16,942","2,465",26.44%,3.85%,"30,125","2,658",47.01%,4.15%,"17,011","2,266",26.55%,3.54%
"Campbell County, Wyoming","47,141","16,576","2,464",35.16%,5.23%,"23,589","2,543",50.04%,5.39%,"6,976","1,814",14.80%,3.85%
"Williams County, North Dakota","38,866","16,717","2,458",43.01%,6.32%,"17,222","2,436",44.31%,6.27%,"4,927","1,765",12.68%,4.54%
"Granville County, North Carolina","59,300","20,879","2,448",35.21%,4.13%,"25,654","2,637",43.26%,4.45%,"12,767","2,275",21.53%,3.84%
"Lawrence County, Ohio","56,020","20,918","2,445",37.34%,4.36%,"22,958","2,443",40.98%,4.36%,"12,144","1,934",21.68%,3.45%
"Tehama County, California","64,627","17,855","2,444",27.63%,3.78%,"32,233","2,749",49.88%,4.25%,"14,539","2,268",22.50%,3.51%
"Maverick County, Texas","57,437","10,092","2,444",17.57%,4.26%,"28,624","2,925",49.84%,5.09%,"18,721","2,645",32.59%,4.61%
"Portage County, Wisconsin","68,343","28,943","2,437",42.35%,3.57%,"29,315","2,437",42.89%,3.57%,"10,085","1,897",14.76%,2.78%
"Curry County, New Mexico","47,059","16,041","2,435",34.09%,5.17%,"20,968","2,570",44.56%,5.46%,"10,050","1,985",21.36%,4.22%
"Lenoir County, North Carolina","54,735","15,257","2,432",27.87%,4.44%,"23,243","2,657",42.46%,4.85%,"16,235","2,349",29.66%,4.29%
"Marion County, West Virginia","54,836","20,483","2,431",37.35%,4.43%,"22,805","2,495",41.59%,4.55%,"11,548","1,998",21.06%,3.64%
"Roane County, Tennessee","56,096","18,579","2,430",33.12%,4.33%,"23,411","2,568",41.73%,4.58%,"14,106","2,253",25.15%,4.02%
"Lyon County, Nevada","62,487","19,123","2,427",30.60%,3.88%,"31,692","2,588",50.72%,4.14%,"11,672","2,035",18.68%,3.26%
"Campbell County, Virginia","54,988","19,367","2,426",35.22%,4.41%,"23,008","2,526",41.84%,4.59%,"12,613","2,083",22.94%,3.79%
"Crawford County, Pennsylvania","79,676","28,097","2,418",35.26%,3.03%,"31,284","2,449",39.26%,3.07%,"20,295","2,024",25.47%,2.54%
"Van Zandt County, Texas","63,822","18,943","2,416",29.68%,3.79%,"31,706","2,672",49.68%,4.19%,"13,173","2,302",20.64%,3.61%
"Pickaway County, Ohio","57,326","23,589","2,409",41.15%,4.20%,"22,950","2,404",40.03%,4.19%,"10,787","1,879",18.82%,3.28%
"Oktibbeha County, Mississippi","45,920","14,568","2,407",31.72%,5.24%,"20,256","2,508",44.11%,5.46%,"11,096","2,119",24.16%,4.61%
"Jefferson County, Tennessee","56,975","17,324","2,407",30.41%,4.22%,"26,630","2,534",46.74%,4.45%,"13,021","2,210",22.85%,3.88%
"Vermilion Parish, Louisiana","56,992","17,183","2,404",30.15%,4.22%,"25,658","2,621",45.02%,4.60%,"14,151","2,242",24.83%,3.93%
"Columbia County, Pennsylvania","62,075","24,359","2,404",39.24%,3.87%,"25,741","2,425",41.47%,3.91%,"11,975","1,977",19.29%,3.18%
"Belmont County, Ohio","62,084","22,120","2,398",35.63%,3.86%,"25,478","2,444",41.04%,3.94%,"14,486","2,035",23.33%,3.28%
"Newton County, Missouri","60,284","21,745","2,388",36.07%,3.96%,"25,657","2,397",42.56%,3.98%,"12,882","1,859",21.37%,3.08%
"Jackson County, Indiana","46,234","18,457","2,377",39.92%,5.14%,"19,628","2,400",42.45%,5.19%,"8,149","1,893",17.63%,4.09%
"Athens County, Ohio","54,393","19,402","2,377",35.67%,4.37%,"22,956","2,383",42.20%,4.38%,"12,035","1,881",22.13%,3.46%
"Coos County, Oregon","63,710","16,593","2,376",26.04%,3.73%,"31,692","2,613",49.74%,4.10%,"15,425","2,149",24.21%,3.37%
"Rutland County, Vermont","59,224","21,142","2,372",35.70%,4.01%,"27,225","2,383",45.97%,4.02%,"10,857","1,810",18.33%,3.06%
"Creek County, Oklahoma","73,146","23,568","2,370",32.22%,3.24%,"33,144","2,532",45.31%,3.46%,"16,434","2,098",22.47%,2.87%
"Washington County, Vermont","58,657","24,952","2,370",42.54%,4.04%,"24,099","2,396",41.08%,4.08%,"9,606","1,823",16.38%,3.11%
"Franklin County, Kentucky","50,634","18,432","2,369",36.40%,4.68%,"22,096","2,448",43.64%,4.83%,"10,106","2,038",19.96%,4.02%
"Columbia County, New York","60,015","21,693","2,367",36.15%,3.94%,"24,602","2,436",40.99%,4.06%,"13,720","2,066",22.86%,3.44%
"Watauga County, North Carolina","47,486","15,613","2,367",32.88%,4.98%,"20,637","2,424",43.46%,5.10%,"11,236","1,869",23.66%,3.94%
"Rice County, Minnesota","61,214","24,114","2,364",39.39%,3.86%,"25,093","2,381",40.99%,3.89%,"12,007","1,847",19.61%,3.02%
"Acadia Parish, Louisiana","56,402","16,740","2,359",29.68%,4.18%,"23,667","2,535",41.96%,4.49%,"15,995","2,153",28.36%,3.82%
"Grundy County, Illinois","53,550","25,591","2,357",47.79%,4.40%,"20,072","2,350",37.48%,4.39%,"7,887","1,801",14.73%,3.36%
"Pottawatomie County, Oklahoma","70,936","20,314","2,357",28.64%,3.32%,"32,708","2,506",46.11%,3.53%,"17,914","2,077",25.25%,2.93%
"Hardin County, Texas","58,261","20,321","2,355",34.88%,4.04%,"25,443","2,565",43.67%,4.40%,"12,497","2,164",21.45%,3.71%
"Kendall County, Texas","50,361","16,438","2,354",32.64%,4.67%,"23,754","2,575",47.17%,5.11%,"10,169","2,202",20.19%,4.37%
"Taney County, Missouri","54,896","18,065","2,352",32.91%,4.28%,"23,435","2,410",42.69%,4.39%,"13,396","1,947",24.40%,3.55%
"Columbia County, Oregon","53,742","17,943","2,351",33.39%,4.37%,"26,018","2,482",48.41%,4.62%,"9,781","1,892",18.20%,3.52%
"Lamar County, Texas","50,819","14,166","2,351",27.88%,4.63%,"23,732","2,565",46.70%,5.05%,"12,921","2,208",25.43%,4.34%
"Huron County, Ohio","58,138","22,358","2,341",38.46%,4.03%,"24,019","2,339",41.31%,4.02%,"11,761","1,836",20.23%,3.16%
"Laurens County, Georgia","49,760","15,063","2,339",30.27%,4.70%,"22,813","2,533",45.85%,5.09%,"11,884","2,220",23.88%,4.46%
"Nye County, Nevada","54,630","11,477","2,339",21.01%,4.28%,"28,364","2,660",51.92%,4.87%,"14,789","2,313",27.07%,4.23%
"Pulaski County, Missouri","53,716","18,155","2,338",33.80%,4.35%,"28,345","2,404",52.77%,4.48%,"7,216","1,714",13.43%,3.19%
"Barry County, Michigan","63,534","25,323","2,328",39.86%,3.66%,"26,924","2,357",42.38%,3.71%,"11,287","1,888",17.77%,2.97%
"Crow Wing County, Minnesota","68,175","25,092","2,324",36.81%,3.41%,"29,590","2,360",43.40%,3.46%,"13,493","1,899",19.79%,2.79%
"Isabella County, Michigan","60,620","20,315","2,321",33.51%,3.83%,"26,554","2,322",43.80%,3.83%,"13,751","1,806",22.68%,2.98%
"Box Elder County, Utah","62,515","27,100","2,320",43.35%,3.71%,"26,785","2,367",42.85%,3.79%,"8,630","1,669",13.80%,2.67%
"Buffalo County, Nebraska","48,992","23,350","2,315",47.66%,4.73%,"19,076","2,296",38.94%,4.69%,"6,566","1,747",13.40%,3.57%
"Cattaraugus County, New York","74,102","25,347","2,313",34.21%,3.12%,"29,580","2,335",39.92%,3.15%,"19,175","1,883",25.88%,2.54%
"Crittenden County, Arkansas","46,944","14,114","2,311",30.07%,4.92%,"20,969","2,449",44.67%,5.22%,"11,861","2,103",25.27%,4.48%
"Chippewa County, Wisconsin","65,104","27,401","2,308",42.09%,3.55%,"26,372","2,334",40.51%,3.59%,"11,331","1,890",17.40%,2.90%
"Coffee County, Alabama","55,342","17,700","2,303",31.98%,4.16%,"24,758","2,402",44.74%,4.34%,"12,884","2,009",23.28%,3.63%
"McMinn County, Tennessee","55,176","19,692","2,300",35.69%,4.17%,"22,628","2,418",41.01%,4.38%,"12,856","2,094",23.30%,3.80%
"Marquette County, Michigan","63,489","22,971","2,292",36.18%,3.61%,"26,343","2,319",41.49%,3.65%,"14,175","1,895",22.33%,2.98%
"Johnson County, Missouri","52,287","21,785","2,277",41.66%,4.35%,"22,137","2,263",42.34%,4.33%,"8,365","1,676",16.00%,3.21%
"Dearborn County, Indiana","51,020","21,455","2,276",42.05%,4.46%,"21,226","2,257",41.60%,4.42%,"8,339","1,742",16.34%,3.41%
"Whiteside County, Illinois","54,364","20,045","2,271",36.87%,4.18%,"22,754","2,327",41.85%,4.28%,"11,565","1,942",21.27%,3.57%
"Warren County, Iowa","54,268","25,436","2,271",46.87%,4.18%,"22,416","2,229",41.31%,4.11%,"6,416","1,656",11.82%,3.05%
"Boyd County, Kentucky","46,112","16,455","2,266",35.68%,4.91%,"18,922","2,302",41.03%,4.99%,"10,735","1,851",23.28%,4.01%
"Washington County, Oklahoma","53,218","17,056","2,266",32.05%,4.26%,"24,082","2,392",45.25%,4.49%,"12,080","1,978",22.70%,3.72%
"Kerr County, Texas","52,868","12,068","2,265",22.83%,4.28%,"25,753","2,600",48.71%,4.92%,"15,047","2,345",28.46%,4.44%
"Elko County, Nevada","53,875","19,304","2,264",35.83%,4.20%,"24,231","2,385",44.98%,4.43%,"10,340","1,799",19.19%,3.34%
"Herkimer County, New York","59,032","22,683","2,264",38.42%,3.84%,"24,257","2,290",41.09%,3.88%,"12,092","1,896",20.48%,3.21%
"Washington County, Ohio","57,644","20,541","2,261",35.63%,3.92%,"24,490","2,289",42.48%,3.97%,"12,613","1,874",21.88%,3.25%
"Fulton County, New York","52,085","19,452","2,258",37.35%,4.34%,"22,391","2,273",42.99%,4.36%,"10,242","1,857",19.66%,3.57%
"Polk County, Georgia","44,115","12,798","2,257",29.01%,5.12%,"17,885","2,399",40.54%,5.44%,"13,432","2,009",30.45%,4.55%
"Pike County, Kentucky","55,005","17,308","2,254",31.47%,4.10%,"23,165","2,349",42.11%,4.27%,"14,532","2,010",26.42%,3.65%
"Worcester County, Maryland","53,936","17,661","2,254",32.74%,4.18%,"24,257","2,413",44.97%,4.47%,"12,018","2,083",22.28%,3.86%
"Caldwell County, Texas","48,504","12,954","2,251",26.71%,4.64%,"23,713","2,579",48.89%,5.32%,"11,837","2,251",24.40%,4.64%
"La Plata County, Colorado","54,825","18,517","2,249",33.77%,4.10%,"26,372","2,400",48.10%,4.38%,"9,936","1,929",18.12%,3.52%
"St. John the Baptist Parish, Louisiana","39,447","13,550","2,249",34.35%,5.70%,"17,362","2,445",44.01%,6.20%,"8,535","2,159",21.64%,5.47%
"Blount County, Alabama","59,729","18,973","2,245",31.77%,3.76%,"26,090","2,367",43.68%,3.96%,"14,666","2,036",24.55%,3.41%
"Genesee County, New York","56,803","23,316","2,245",41.05%,3.95%,"21,904","2,261",38.56%,3.98%,"11,583","1,848",20.39%,3.25%
"Sampson County, North Carolina","58,990","16,592","2,232",28.13%,3.78%,"25,467","2,451",43.17%,4.15%,"16,931","2,137",28.70%,3.62%
"Nelson County, Kentucky","47,626","15,668","2,231",32.90%,4.68%,"22,643","2,303",47.54%,4.84%,"9,315","1,907",19.56%,4.00%
"Val Verde County, Texas","46,451","11,156","2,230",24.02%,4.80%,"22,139","2,613",47.66%,5.63%,"13,156","2,330",28.32%,5.02%
"Gibson County, Tennessee","50,876","16,356","2,229",32.15%,4.38%,"22,179","2,358",43.59%,4.63%,"12,341","2,049",24.26%,4.03%
"Windsor County, Vermont","57,776","22,516","2,225",38.97%,3.85%,"24,600","2,274",42.58%,3.94%,"10,660","1,751",18.45%,3.03%
"Montcalm County, Michigan","62,993","21,527","2,214",34.17%,3.51%,"28,724","2,237",45.60%,3.55%,"12,742","1,789",20.23%,2.84%
"Shelby County, Indiana","45,072","18,790","2,213",41.69%,4.91%,"18,136","2,196",40.24%,4.87%,"8,146","1,717",18.07%,3.81%
"Somerset County, Pennsylvania","68,843","24,793","2,213",36.01%,3.21%,"28,925","2,256",42.02%,3.28%,"15,125","1,900",21.97%,2.76%
"Washington County, New York","58,660","22,203","2,212",37.85%,3.77%,"24,668","2,218",42.05%,3.78%,"11,789","1,796",20.10%,3.06%
"Navarro County, Texas","54,826","13,884","2,211",25.32%,4.03%,"27,184","2,453",49.58%,4.47%,"13,758","2,110",25.09%,3.85%
"Ashland County, Ohio","51,791","19,518","2,207",37.69%,4.26%,"21,528","2,232",41.57%,4.31%,"10,745","1,815",20.75%,3.50%
"Logan County, Oklahoma","51,822","16,904","2,205",32.62%,4.25%,"24,668","2,350",47.60%,4.53%,"10,250","1,913",19.78%,3.69%
"Shelby County, Kentucky","48,603","17,244","2,202",35.48%,4.53%,"20,779","2,302",42.75%,4.74%,"10,580","1,940",21.77%,3.99%
"Edgecombe County, North Carolina","48,675","12,480","2,191",25.64%,4.50%,"22,193","2,384",45.59%,4.90%,"14,002","2,076",28.77%,4.27%
"Hendry County, Florida","43,115","9,558","2,190",22.17%,5.08%,"20,563","2,457",47.69%,5.70%,"12,994","2,125",30.14%,4.93%
"Queen Anne's County, Maryland","52,341","22,650","2,189",43.27%,4.18%,"19,852","2,251",37.93%,4.30%,"9,839","1,783",18.80%,3.41%
"Danville city, Virginia","41,070","11,715","2,188",28.52%,5.33%,"17,369","2,328",42.29%,5.67%,"11,986","1,969",29.18%,4.79%
"Seneca County, Ohio","52,854","21,189","2,172",40.09%,4.11%,"21,489","2,197",40.66%,4.16%,"10,176","1,787",19.25%,3.38%
"Jackson County, Illinois","49,584","15,097","2,169",30.45%,4.37%,"21,643","2,216",43.65%,4.47%,"12,844","1,811",25.90%,3.65%
"Ionia County, Michigan","60,612","23,873","2,164",39.39%,3.57%,"24,876","2,179",41.04%,3.59%,"11,863","1,718",19.57%,2.83%
"Wilson County, Texas","54,132","15,076","2,160",27.85%,3.99%,"26,962","2,464",49.81%,4.55%,"12,094","2,156",22.34%,3.98%
"Coles County, Illinois","44,347","17,428","2,159",39.30%,4.87%,"18,193","2,137",41.02%,4.82%,"8,726","1,689",19.68%,3.81%
"Chisago County, Minnesota","57,445","27,306","2,158",47.53%,3.76%,"21,720","2,165",37.81%,3.77%,"8,419","1,647",14.66%,2.87%
"Vance County, North Carolina","42,165","10,466","2,157",24.82%,5.12%,"19,816","2,358",47.00%,5.59%,"11,883","2,066",28.18%,4.90%
"Washington County, Virginia","52,505","16,041","2,154",30.55%,4.10%,"24,121","2,269",45.94%,4.32%,"12,343","1,914",23.51%,3.65%
"Franklin County, Vermont","50,797","23,025","2,152",45.33%,4.24%,"19,718","2,143",38.82%,4.22%,"8,054","1,574",15.86%,3.10%
"Douglas County, Washington","44,785","13,396","2,147",29.91%,4.79%,"20,693","2,344",46.21%,5.23%,"10,696","1,854",23.88%,4.14%
"St. Martin Parish, Louisiana","51,041","13,941","2,146",27.31%,4.20%,"22,380","2,393",43.85%,4.69%,"14,720","2,133",28.84%,4.18%
"Franklin County, Virginia","54,664","16,944","2,146",31.00%,3.93%,"24,643","2,292",45.08%,4.19%,"13,077","1,967",23.92%,3.60%
"Henry County, Virginia","49,408","13,948","2,143",28.23%,4.34%,"20,977","2,322",42.46%,4.70%,"14,483","2,048",29.31%,4.15%
"Livingston County, New York","57,331","22,675","2,141",39.55%,3.73%,"22,636","2,171",39.48%,3.79%,"12,020","1,781",20.97%,3.11%
"St. Joseph County, Michigan","60,837","22,084","2,140",36.30%,3.52%,"25,593","2,173",42.07%,3.57%,"13,160","1,745",21.63%,2.87%
"Hancock County, Mississippi","46,159","15,236","2,136",33.01%,4.63%,"19,003","2,271",41.17%,4.92%,"11,920","1,994",25.82%,4.32%
"Greene County, Arkansas","46,321","15,121","2,134",32.64%,4.61%,"19,860","2,268",42.87%,4.90%,"11,340","1,852",24.48%,4.00%
"Lincoln Parish, Louisiana","43,056","12,774","2,134",29.67%,4.96%,"17,966","2,387",41.73%,5.54%,"12,316","2,125",28.60%,4.94%
"Petersburg city, Virginia","33,266","9,407","2,132",28.28%,6.41%,"15,727","2,261",47.28%,6.80%,"8,132","1,889",24.45%,5.68%
"Davie County, North Carolina","44,552","16,250","2,129",36.47%,4.78%,"19,086","2,245",42.84%,5.04%,"9,216","1,888",20.69%,4.24%
"Montgomery County, New York","49,245","18,310","2,128",37.18%,4.32%,"18,766","2,187",38.11%,4.44%,"12,169","1,815",24.71%,3.69%
"Albany County, Wyoming","35,520","14,059","2,128",39.58%,5.99%,"14,873","2,139",41.87%,6.02%,"6,588","1,490",18.55%,4.19%
"Medina County, Texas","52,763","13,050","2,126",24.73%,4.03%,"26,059","2,493",49.39%,4.72%,"13,654","2,224",25.88%,4.22%
"Shelby County, Ohio","47,698","17,933","2,119",37.60%,4.44%,"19,137","2,112",40.12%,4.43%,"10,628","1,654",22.28%,3.47%
"Tift County, Georgia","40,804","13,438","2,117",32.93%,5.19%,"17,883","2,259",43.83%,5.54%,"9,483","1,901",23.24%,4.66%
"Pittsylvania County, Virginia","58,446","18,384","2,116",31.45%,3.62%,"24,368","2,266",41.69%,3.88%,"15,694","1,974",26.85%,3.38%
"Oconee County, Georgia","44,131","20,979","2,114",47.54%,4.79%,"17,455","2,137",39.55%,4.84%,"5,697","1,599",12.91%,3.62%
"Phelps County, Missouri","43,024","14,926","2,109",34.69%,4.90%,"19,599","2,096",45.55%,4.87%,"8,499","1,588",19.75%,3.69%
"Tuolumne County, California","51,804","11,737","2,106",22.66%,4.07%,"28,310","2,414",54.65%,4.66%,"11,757","2,064",22.70%,3.98%
"Dubois County, Indiana","43,428","16,239","2,105",37.39%,4.85%,"18,691","2,141",43.04%,4.93%,"8,498","1,733",19.57%,3.99%
"Montrose County, Colorado","44,071","12,993","2,099",29.48%,4.76%,"21,946","2,251",49.80%,5.11%,"9,132","1,811",20.72%,4.11%
"Thomas County, Georgia","45,459","12,965","2,096",28.52%,4.61%,"21,100","2,236",46.42%,4.92%,"11,394","1,904",25.06%,4.19%
